5,1,7,3,9,2,6,4,14,13,10,12,8,0,11,15
1,2,0,4,5,6,3,7,9,10,11,15,13,14,12,8
1,2,3,4,5,12,8,15,9,10,0,11,13,14,6,7
1,2,3,4,10,9,6,8,0,5,7,12,13,14,11,15
2,6,3,4,1,0,7,8,5,13,12,15,10,9,14,11
0,1,3,4,5,2,7,8,9,6,12,15,13,11,10,14
1,2,3,4,5,7,11,8,14,6,13,12,9,10,15,0
2,9,3,4,1,0,11,5,14,10,7,8,6,13,15,12
1,2,4,6,9,5,12,0,13,10,7,3,14,11,15,8
2,3,7,4,1,0,5,8,13,6,10,11,14,9,15,12
1,2,7,3,9,5,4,8,13,10,0,6,14,15,11,12
1,2,0,3,5,6,8,4,14,15,10,12,9,13,11,7
1,6,2,7,9,5,8,4,13,11,0,3,14,10,15,12
2,7,6,3,5,0,15,4,10,1,11,8,9,13,14,12
2,5,0,4,7,6,1,8,9,12,3,15,13,10,14,11
1,2,0,4,6,7,3,8,13,9,5,10,14,11,15,12
5,1,2,4,7,0,6,8,10,13,3,11,9,14,15,12
5,4,0,8,2,1,10,6,14,7,12,3,9,13,11,15
2,3,4,8,1,0,11,7,5,6,9,12,13,10,14,15
1,2,4,8,5,14,6,12,9,11,3,7,13,0,10,15
